kind,id,score,blocker,recoverable_share,confidence,score_model_id,rubric_version
onet,9180,8,interpersonal,0.04,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2076,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11920,60,none,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,14753,35,judgment,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,11256,5,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8366,80,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5486,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11091,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3417,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9879,70,none,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5221,15,interpersonal,0.08,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5836,90,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7178,8,physical,0.04,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9253,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8615,5,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8788,55,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,6133,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2583,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13139,3,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3516,5,interpersonal,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,200,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7849,15,physical,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,5391,15,physical,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,1549,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10144,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1148,90,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13936,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1033,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5068,80,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7296,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4778,35,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,6810,12,interpersonal,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8970,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7254,85,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6603,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4773,30,physical,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5567,88,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11735,5,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3556,3,interpersonal,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14667,50,interpersonal,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,5636,60,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,1676,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12759,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1028,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14377,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4253,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,721,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8689,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,7404,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6750,15,physical,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,12711,8,physical,0.04,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6336,45,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,1255,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6119,50,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,927,60,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,7044,10,interpersonal,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6347,15,interpersonal,0.08,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1004,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9970,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2903,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13914,25,judgment,0.1,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,576,90,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13130,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3377,8,interpersonal,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10310,5,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7927,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3838,5,interpersonal,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12738,70,none,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,3552,18,interpersonal,0.1,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,7706,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3164,80,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11830,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1032,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3613,8,judgment,0.04,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6871,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2571,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,11815,3,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1306,70,judgment,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,8800,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8414,30,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,12039,10,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,422,30,judgment,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,8975,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6016,40,judgment,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,12425,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4235,12,interpersonal,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11370,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12202,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6211,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,826,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9788,60,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,6875,10,physical,0.05,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2821,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11568,8,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5502,90,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5787,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,1509,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,903,50,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,12641,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11521,25,physical,0.12,low,claude-fable-5,v2.0-0bc6e57d39a2
onet,1080,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4909,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14997,8,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12247,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2344,3,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4291,25,interpersonal,0.12,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,5749,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8324,8,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7659,5,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,687,30,interpersonal,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,6460,15,physical,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,11044,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6011,50,none,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2444,55,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,12680,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5362,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,12034,3,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11005,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3853,45,judgment,0.25,low,claude-fable-5,v2.0-0bc6e57d39a2
onet,11250,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9178,55,interpersonal,0.3,low,claude-fable-5,v2.0-0bc6e57d39a2
onet,7871,3,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6727,25,judgment,0.12,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,11661,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3445,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13540,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12130,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6112,75,none,0.5,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,3646,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8085,8,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4771,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1844,60,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,3267,5,judgment,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1409,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3165,40,interpersonal,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2680,90,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9407,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2156,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3962,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2796,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,3645,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4293,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11475,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4108,78,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11482,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4552,12,physical,0.05,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,5579,55,judgment,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,4140,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3891,20,physical,0.1,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5699,80,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2233,15,interpersonal,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,10549,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9612,10,physical,0.05,low,claude-fable-5,v2.0-0bc6e57d39a2
onet,9365,30,interpersonal,0.18,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,11043,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4378,40,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5665,90,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14742,10,judgment,0.04,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10699,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7253,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1989,35,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,2467,3,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,560,3,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,15198,55,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2401,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4871,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9435,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,7766,15,physical,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,3041,65,none,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,6567,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5630,30,interpersonal,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2447,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,281,40,interpersonal,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,4246,80,judgment,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2662,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4646,25,interpersonal,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,284,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,6883,5,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13403,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13224,5,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8769,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5505,88,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,739,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4544,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5307,55,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,8031,70,none,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5873,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11962,8,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9109,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10378,70,none,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10500,20,physical,0.1,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,8418,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13176,65,none,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,1510,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9014,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4905,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5083,15,interpersonal,0.08,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6747,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,9601,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5463,45,interpersonal,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,7546,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3195,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,338,50,interpersonal,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,6714,20,judgment,0.1,low,claude-fable-5,v2.0-0bc6e57d39a2
micro,6580,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3170,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12374,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5790,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2986,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5621,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12675,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13798,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8976,70,none,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13265,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1678,70,judgment,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,5924,85,none,0.6,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,110,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5493,15,interpersonal,0.08,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8824,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1204,20,physical,0.12,low,claude-fable-5,v2.0-0bc6e57d39a2
onet,14025,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1018,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14351,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,698,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10838,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,7380,35,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5239,40,judgment,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,3127,15,physical,0.1,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,1153,78,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6110,70,data_access,0.45,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,4409,55,data_access,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,4539,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,1915,30,physical,0.18,low,claude-fable-5,v2.0-0bc6e57d39a2
micro,5453,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3364,78,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9366,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2064,88,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7726,35,data_access,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,3896,8,physical,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14158,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14223,20,interpersonal,0.1,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,1606,82,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6887,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5229,60,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,4305,25,interpersonal,0.12,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4555,75,judgment,0.5,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,11279,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3408,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,7096,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11121,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5292,12,physical,0.08,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,2638,65,judgment,0.4,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,7873,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11008,50,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,4891,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8095,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2817,65,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3836,30,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2252,45,interpersonal,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13692,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5654,88,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8077,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4943,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13443,75,none,0.5,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,13893,12,physical,0.06,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11443,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4172,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1372,35,interpersonal,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,9382,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4471,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,1582,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9186,5,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4114,5,interpersonal,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8829,70,judgment,0.45,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6028,55,physical,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,6072,95,none,0.8,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,5462,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,8512,8,physical,0.05,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2990,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,11454,2,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,6847,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2413,78,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2890,40,judgment,0.25,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,3155,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,13353,15,physical,0.1,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,4249,45,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,1013,82,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9082,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,1178,20,interpersonal,0.1,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,14922,15,physical,0.08,low,claude-fable-5,v2.0-0bc6e57d39a2
onet,12420,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4683,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6394,60,data_access,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,3204,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,10130,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5553,90,none,0.7,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3651,55,judgment,0.35,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8376,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
